Year,AgeGroup,BelowAliceThreshold
2010,Under 25,46143
2010,Age 25 to 44,148900
2010,Age 45 to 64,163035
2010,Age 65 and Over,138026
2012,Under 25,43867
2012,Age 25 to 44,153136
2012,Age 45 to 64,172062
2012,Age 65 and Over,137841
2014,Under 25,43543
2014,Age 25 to 44,157435
2014,Age 45 to 64,177291
2014,Age 65 and Over,152526
2016,Under 25,41322
2016,Age 25 to 44,147940
2016,Age 45 to 64,176203
2016,Age 65 and Over,161036
2018,Under 25,44523
2018,Age 25 to 44,155732
2018,Age 45 to 64,176050
2018,Age 65 and Over,162736
2019,Under 25,40161
2019,Age 25 to 44,155335
2019,Age 45 to 64,176454
2019,Age 65 and Over,166233
2021,Under 25,39797
2021,Age 25 to 44,159242
2021,Age 45 to 64,179248
2021,Age 65 and Over,173638
2022,Under 25,41781
2022,Age 25 to 44,161057
2022,Age 45 to 64,177343
2022,Age 65 and Over,182698
2023,Under 25,37565
2023,Age 25 to 44,156785
2023,Age 45 to 64,161552
2023,Age 65 and Over,181192
2024,Under 25,42112
2024,Age 25 to 44,146492
2024,Age 45 to 64,164912
2024,Age 65 and Over,178344
