Year,County,Households,BelowAliceThreshold
2024,Arkansas,6705,47
2024,Ashley,7356,57
2024,Baxter,19348,50
2024,Benton,122269,29
2024,Boone,15363,44
2024,Bradley,3752,58
2024,Calhoun,1690,41
2024,Carroll,11347,47
2024,Chicot,3965,60
2024,Clark,8121,49
2024,Clay,6021,47
2024,Cleburne,10522,45
2024,Cleveland,2931,49
2024,Columbia,8409,50
2024,Conway,8279,47
2024,Craighead,46463,44
2024,Crawford,23357,41
2024,Crittenden,18203,54
2024,Cross,6483,50
2024,Dallas,2558,57
2024,Desha,4610,61
2024,Drew,7196,55
2024,Faulkner,50276,39
2024,Franklin,7048,48
2024,Fulton,4757,58
2024,Garland,44723,43
2024,Grant,6978,39
2024,Greene,17994,43
2024,Hempstead,7479,55
2024,Hot Spring,12310,48
2024,Howard,5098,53
2024,Independence,14638,46
2024,Izard,5232,59
2024,Jackson,6076,57
2024,Jefferson,24017,54
2024,Johnson,10316,54
2024,Lafayette,2622,55
2024,Lawrence,6613,54
2024,Lee,2690,69
2024,Lincoln,3592,49
2024,Little River,4820,47
2024,Logan,8521,40
2024,Lonoke,28554,39
2024,Madison,6463,51
2024,Marion,7664,50
2024,Miller,16359,55
2024,Mississippi,15452,48
2024,Monroe,2790,53
2024,Montgomery,3715,50
2024,Nevada,3251,45
2024,Newton,3179,45
2024,Ouachita,8624,52
2024,Perry,4094,49
2024,Phillips,6023,60
2024,Pike,4082,51
2024,Poinsett,8792,52
2024,Polk,7898,50
2024,Pope,24348,45
2024,Prairie,3256,50
2024,Pulaski,178578,40
2024,Randolph,7334,50
2024,Saline,50696,35
2024,Scott,3985,54
2024,Searcy,3197,56
2024,Sebastian,52985,39
2024,Sevier,5622,52
2024,Sharp,6856,55
2024,St. Francis,7783,62
2024,Stone,5262,58
2024,Union,15002,48
2024,Van Buren,7432,48
2024,Washington,99868,38
2024,White,31703,47
2024,Woodruff,2692,51
2024,Yell,8323,42
