Year,Occupation,TotalEmployment,PercentBelowALICE,MedianAnnualWage,MedianHourlyWage
2024,"Driver/Sales Workers And Truck Drivers",39991,23,53808,25.87
2024,"Registered Nurses",37982,9,76144,36.61
2024,"First-Line Supervisors Of Retail Sales Workers",31221,18,50763,24.41
2024,"Elementary And Middle School Teachers",28019,13,50763,24.41
2024,"Customer Service Representatives",25386,26,41625,20.01
2024,"Retail Salespersons",24909,29,40610,19.52
2024,"Cooks",24808,46,25381,12.2
2024,"Cashiers",22654,50,27412,13.18
2024,"Construction Laborers",21152,47,37057,17.82
2024,"Janitors And Building Cleaners",21138,43,32183,15.47
2024,"Laborers And Freight, Stock, And Material Movers, Hand",21111,44,38580,18.55
2024,"Nursing Assistants",20049,39,30458,14.64
2024,"Miscellaneous Production Workers, Including Equipment Operators and Tenders",19490,26,42234,20.3
2024,"Waiters And Waitresses",19484,51,25381,12.2
2024,"Stockers And Order Fillers",19148,39,29544,14.2
2024,"Secretaries And Administrative Assistants, Except Legal, Medical, And Executive",18018,15,40610,19.52
2024,"Secondary School Teachers",13918,7,54824,26.36
2024,"Personal Care Aides",12738,46,25381,12.2
2024,"First-Line Supervisors Of Production And Operating Workers",12468,24,57869,27.82
2024,"First-Line Supervisors Of Office And Administrative Support Workers",12020,7,45686,21.96
