Year,Race,BelowAliceThreshold
2021,Asian,5311
2021,Black,118470
2021,Native Hawaiian/Pacific Islander,1309
2021,Hispanic/Latino,32981
2021,American Indian/Alaska Native,3472
2021,White,366099
2021,Two or More Races,22848
2022,Asian,5354
2022,Black,113392
2022,Native Hawaiian/Pacific Islander,1348
2022,Hispanic/Latino,33198
2022,American Indian/Alaska Native,2971
2022,White,371898
2022,Two or More Races,29513
2023,Asian,4862
2023,Black,113176
2023,Native Hawaiian/Pacific Islander,1079
2023,Hispanic/Latino,32974
2023,American Indian/Alaska Native,2754
2023,White,351446
2023,Two or More Races,35989
2024,Asian,5049
2024,Black,109995
2024,Native Hawaiian/Pacific Islander,1131
2024,Hispanic/Latino,33794
2024,American Indian/Alaska Native,2721
2024,White,343285
2024,Two or More Races,42838
